	Unnamed: 0	Description	LRPNo	LRPType	LatitudeDec	LongitudeDec	Road	RoadChainage	replaced	zero_lon	zero_lat
279	279	Km post missing	LRP125	Km Post	23.1990274	91.31705490000002	N1	122.248		False	False
280	280	Box culvert	LRP125a	Culvert	23.1921108	91.3185549	N1	123.113		False	False
281	281	Km post missing	LRP126	Km Post	23.1909997	91.3192493	N1	123.248		False	False
282	282	Bridge start	LRP126a	Bridge	23.1866941	91.3212493	N1	123.771		False	False
283	283	Bridge end	LRP126b	Bridge	23.1866108	91.3212771	N1	123.783		False	False
284	284	Km post missing	LRP127	Km Post	23.1826382	91.3210827	N1	124.248		False	False
285	285	Box culvert	LRP127a	Culvert	23.1773604	91.3198049	N1	124.862		False	False
286	286	Ctg 133 km	LRP128	Km Post	23.172916	91.3205271	N1	125.377		False	False
287	287	Bridge start	LRP128a	Bridge	23.1681382	91.3213604	N1	125.923		False	False
288	288	Bridge end	LRP128b	Bridge	23.1680549	91.3213604	N1	125.937		False	False
289	289	Km post missing	LRP129	Km Post	23.1641389	91.3214993	N1	126.377		False	False
290	290	Box culvert	LRP129a	Culvert	23.1571667	91.3224993	N1	127.169		False	False
291	291	Km post missing	LRP130	Km Post	23.1554167	91.3232771	N1	127.377		False	False
292	292	Road to Nangolhat (Z1048)	LRP130a	Side Road, Right	23.1496941	91.3254993	N1	128.009		False	False
293	293	Box culvert	LRP130b	Culvert	23.1480274	91.3264993	N1	128.278		False	False
294	294	Km post missing	LRP131	Km Post	23.1471663	91.3266938	N1	128.377		False	False
295	295	Box culvert	LRP131a	Culvert	23.1433886	91.326666	N1	128.798		False	False
296	296	Km post missing	LRP132	Km Post	23.1382219	91.3263049	N1	129.377		False	False
297	297	Box culvert	LRP132a	Culvert	23.1374163	91.3264716	N1	129.47899999999998		False	False
